Size of lattice, Number of MC steps, Reduced temperature, Run time (s), Plateu Num
20x20, 300, 0.300, 5.893519, 245
10x10, 50, 0.500, 0.434727, 0
10x10, 50, 0.500, 0.478922, 0
10x10, 50, 0.500, 0.392961, 0
20x20, 50, 0.500, 1.747255, 0
50x50, 50, 0.500, 12.708391, 0
100x100, 50, 0.500, 46.914984, 0
200x200, 50, 0.500, 261.730853, 0
500x500, 50, 0.500, 4622.669669, 0
