#=====================================================
# File created:        Mon-06-Nov-2023-at-04-39-36PM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.300
# Run time (s):        13.740636
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00140    0.4025   -1440.0376  0.7351 
   00141    0.4875   -1450.9932  0.7415 
   00142    0.4250   -1453.1018  0.7502 
   00143    0.4525   -1454.5825  0.7471 
   00144    0.4650   -1452.3446  0.7419 
   00145    0.4025   -1451.9204  0.7457 
   00146    0.4875   -1458.2691  0.7500 
   00147    0.4325   -1458.9640  0.7562 
   00148    0.4775   -1462.5899  0.7666 
   00149    0.4500   -1451.0592  0.7681 
   00150    0.4425   -1455.4768  0.7646 
   00151    0.4500   -1451.3938  0.7732 
   00152    0.4175   -1456.9808  0.7796 
   00153    0.4250   -1459.7879  0.7808 
   00154    0.4575   -1455.8564  0.7899 
   00155    0.4375   -1452.7730  0.7896 
   00156    0.4475   -1458.6621  0.7913 
   00157    0.4200   -1457.3404  0.8015 
   00158    0.4925   -1446.8322  0.8048 
   00159    0.4375   -1452.7594  0.8146 
   00160    0.4475   -1457.7313  0.8203 
   00161    0.4725   -1464.5044  0.8313 
   00162    0.4250   -1461.3577  0.8310 
   00163    0.4275   -1457.8559  0.8396 
   00164    0.4250   -1465.8828  0.8403 
   00165    0.4600   -1466.0104  0.8398 
   00166    0.4675   -1461.1728  0.8283 
   00167    0.4500   -1467.0374  0.8337 
   00168    0.4425   -1468.1543  0.8389 
   00169    0.4600   -1472.9200  0.8392 
   00170    0.4700   -1476.3838  0.8457 
   00171    0.4350   -1474.9163  0.8468 
   00172    0.4400   -1462.0975  0.8424 
   00173    0.4750   -1464.1577  0.8428 
   00174    0.4325   -1462.3443  0.8382 
   00175    0.4550   -1471.6600  0.8411 
   00176    0.4025   -1471.9528  0.8412 
   00177    0.4350   -1462.2868  0.8329 
   00178    0.4275   -1473.9154  0.8288 
   00179    0.4350   -1469.8769  0.8354 
   00180    0.4625   -1455.3643  0.8252 
   00181    0.4225   -1453.3898  0.8182 
   00182    0.4400   -1462.2321  0.8224 
   00183    0.4225   -1466.2340  0.8184 
   00184    0.4225   -1466.1167  0.8176 
   00185    0.4725   -1466.3272  0.8229 
   00186    0.4275   -1472.7563  0.8273 
   00187    0.4375   -1472.8932  0.8250 
   00188    0.4600   -1465.7743  0.8195 
   00189    0.4375   -1467.5584  0.8154 
   00190    0.4125   -1466.7839  0.8133 
   00191    0.4500   -1468.9345  0.8137 
   00192    0.4025   -1474.1538  0.8140 
   00193    0.4300   -1472.5254  0.8077 
   00194    0.4800   -1477.8919  0.8075 
   00195    0.4450   -1473.6705  0.8026 
   00196    0.4750   -1469.4091  0.8049 
   00197    0.4900   -1462.1340  0.8006 
   00198    0.4525   -1463.9048  0.8009 
   00199    0.4475   -1460.3460  0.8035 
   00200    0.4150   -1459.4252  0.8094 
   00201    0.4375   -1447.3818  0.8012 
   00202    0.4275   -1462.3275  0.8004 
   00203    0.4450   -1466.2465  0.8068 
   00204    0.4825   -1469.5219  0.8089 
   00205    0.4475   -1472.7685  0.8171 
   00206    0.4025   -1464.2011  0.8188 
   00207    0.4575   -1464.4300  0.8269 
   00208    0.4250   -1459.5886  0.8280 
   00209    0.4675   -1457.5197  0.8367 
   00210    0.4550   -1461.5058  0.8409 
   00211    0.4525   -1462.0581  0.8434 
   00212    0.4175   -1467.7695  0.8478 
   00213    0.4225   -1461.3782  0.8478 
   00214    0.4300   -1465.7062  0.8522 
   00215    0.4575   -1473.8020  0.8553 
   00216    0.4525   -1473.2340  0.8502 
   00217    0.4650   -1473.2552  0.8491 
   00218    0.4825   -1473.4851  0.8422 
   00219    0.4000   -1473.9167  0.8477 
   00220    0.4450   -1479.6813  0.8515 
   00221    0.4625   -1481.8814  0.8446 
   00222    0.4750   -1473.3484  0.8455 
   00223    0.4525   -1475.7126  0.8549 
   00224    0.4425   -1476.4689  0.8530 
   00225    0.4100   -1475.8918  0.8541 
   00226    0.3900   -1480.5998  0.8640 
   00227    0.4250   -1481.3825  0.8639 
   00228    0.4750   -1477.3819  0.8522 
   00229    0.4675   -1468.5120  0.8536 
   00230    0.4275   -1464.1917  0.8447 
   00231    0.4900   -1467.3130  0.8398 
   00232    0.4575   -1459.9482  0.8423 
   00233    0.4475   -1456.4268  0.8402 
   00234    0.4800   -1453.8235  0.8461 
   00235    0.4650   -1449.5499  0.8503 
   00236    0.4075   -1455.3656  0.8582 
   00237    0.4600   -1462.9696  0.8639 
   00238    0.4350   -1470.7698  0.8746 
   00239    0.4425   -1469.6954  0.8685 
   00240    0.4550   -1473.9499  0.8779 
   00241    0.4100   -1469.2890  0.8805 
   00242    0.4600   -1464.6836  0.8859 
   00243    0.4250   -1470.4627  0.8855 
   00244    0.4675   -1468.4043  0.8953 
   00245    0.4550   -1473.8072  0.9003 
   00246    0.4575   -1469.9984  0.8992 
   00247    0.4475   -1468.5017  0.8939 
   00248    0.4200   -1461.1407  0.8848 
   00249    0.4425   -1463.5005  0.8964 
   00250    0.4475   -1463.5671  0.9014 
   00251    0.4300   -1456.4064  0.9091 
   00252    0.4075   -1463.4162  0.9104 
   00253    0.4600   -1462.6235  0.9061 
   00254    0.4550   -1472.0727  0.9077 
   00255    0.4750   -1477.3009  0.9110 
   00256    0.4425   -1474.1854  0.9057 
   00257    0.4400   -1475.8084  0.9089 
   00258    0.4275   -1479.7511  0.9111 
   00259    0.4100   -1492.5547  0.9129 
   00260    0.4225   -1477.6347  0.9084 
   00261    0.4150   -1488.3730  0.9173 
   00262    0.4325   -1490.9106  0.9177 
   00263    0.4625   -1481.4015  0.9113 
   00264    0.4325   -1481.9494  0.9164 
   00265    0.4500   -1479.8776  0.9198 
   00266    0.4275   -1485.5647  0.9241 
   00267    0.4050   -1484.9022  0.9190 
   00268    0.4500   -1475.7842  0.9116 
   00269    0.4600   -1472.3783  0.9126 
   00270    0.4050   -1464.9714  0.9094 
   00271    0.4375   -1470.6765  0.9111 
   00272    0.4250   -1466.4061  0.9133 
   00273    0.4400   -1485.8891  0.9210 
   00274    0.5000   -1481.2938  0.9175 
   00275    0.4450   -1485.9318  0.9267 
   00276    0.4850   -1485.6096  0.9335 
   00277    0.4275   -1480.4569  0.9312 
   00278    0.4625   -1483.1353  0.9316 
   00279    0.4800   -1482.0499  0.9266 
   00280    0.3950   -1479.9974  0.9308 
   00281    0.4525   -1475.1563  0.9308 
   00282    0.4125   -1474.5504  0.9345 
   00283    0.4075   -1483.0072  0.9369 
   00284    0.4400   -1479.1005  0.9312 
   00285    0.4250   -1475.8354  0.9261 
   00286    0.4400   -1477.5697  0.9303 
   00287    0.4400   -1483.4879  0.9314 
   00288    0.4575   -1487.5319  0.9344 
   00289    0.3875   -1487.0875  0.9353 
   00290    0.4150   -1476.8798  0.9326 
   00291    0.4800   -1482.7745  0.9408 
   00292    0.4100   -1481.9206  0.9392 
   00293    0.4025   -1481.5665  0.9352 
   00294    0.4325   -1480.8828  0.9374 
   00295    0.4325   -1480.9401  0.9332 
   00296    0.4300   -1484.6306  0.9327 
   00297    0.4600   -1475.3668  0.9287 
   00298    0.4375   -1467.0360  0.9209 
   00299    0.4750   -1470.1899  0.9180 
   00300    0.4550   -1467.8220  0.9138 
   00301    0.4375   -1472.0065  0.9181 
   00302    0.4200   -1474.3098  0.9147 
   00303    0.4200   -1482.1843  0.9144 
   00304    0.4050   -1479.5015  0.9096 
   00305    0.4225   -1477.5628  0.9141 
   00306    0.4575   -1472.4092  0.9103 
   00307    0.4375   -1475.4084  0.9094 
   00308    0.4300   -1486.6755  0.9132 
   00309    0.4400   -1485.1666  0.9115 
   00310    0.4350   -1480.7425  0.9155 
   00311    0.4425   -1473.6211  0.9089 
   00312    0.3875   -1471.8154  0.9148 
   00313    0.4175   -1481.4515  0.9184 
   00314    0.4075   -1485.2206  0.9238 
   00315    0.4300   -1477.8092  0.9200 
   00316    0.4700   -1482.5617  0.9240 
   00317    0.4525   -1465.2369  0.9236 
   00318    0.4175   -1477.9306  0.9211 
   00319    0.4575   -1480.7985  0.9200 
   00320    0.4175   -1470.5140  0.9173 
   00321    0.4325   -1467.3430  0.9169 
   00322    0.4225   -1463.8791  0.9234 
   00323    0.4150   -1471.9046  0.9254 
   00324    0.4175   -1481.4147  0.9261 
   00325    0.4250   -1486.9564  0.9302 
   00326    0.4525   -1487.9958  0.9288 
   00327    0.4050   -1497.4153  0.9302 
   00328    0.4475   -1487.7461  0.9234 
   00329    0.4450   -1472.8215  0.9199 
   00330    0.4050   -1473.2306  0.9192 
   00331    0.4150   -1478.5672  0.9229 
   00332    0.4200   -1472.2889  0.9256 
   00333    0.4625   -1463.9712  0.9204 
   00334    0.4250   -1468.7854  0.9262 
   00335    0.4325   -1460.4280  0.9214 
   00336    0.4425   -1465.4651  0.9209 
   00337    0.4325   -1455.9856  0.9159 
   00338    0.4650   -1459.4716  0.9090 
   00339    0.4425   -1463.5386  0.9061 
   00340    0.4350   -1474.0942  0.9078 
   00341    0.4500   -1470.0665  0.9097 
   00342    0.4600   -1475.1833  0.9110 
   00343    0.4475   -1485.5527  0.9101 
   00344    0.4775   -1484.6343  0.9109 
   00345    0.4525   -1486.1553  0.9154 
   00346    0.4850   -1478.6958  0.9106 
   00347    0.4850   -1468.8405  0.8979 
   00348    0.4325   -1481.7982  0.9083 
   00349    0.4200   -1482.7983  0.9097 
   00350    0.4550   -1474.0592  0.9064 
   00351    0.4125   -1463.7890  0.9045 
   00352    0.4450   -1459.3893  0.9040 
   00353    0.4475   -1460.6866  0.9043 
   00354    0.3825   -1463.4608  0.9051 
   00355    0.4150   -1469.1751  0.9080 
   00356    0.4575   -1462.3274  0.9017 
   00357    0.4450   -1469.0664  0.9018 
   00358    0.4150   -1463.8984  0.8995 
   00359    0.4750   -1461.3259  0.8969 
   00360    0.4525   -1465.6063  0.8954 
   00361    0.4775   -1469.4161  0.9003 
   00362    0.4450   -1467.4794  0.9045 
   00363    0.4125   -1461.5248  0.9067 
   00364    0.4400   -1461.6422  0.9038 
   00365    0.4900   -1465.4313  0.9111 
   00366    0.4400   -1462.0853  0.9141 
   00367    0.4325   -1477.4517  0.9181 
   00368    0.4450   -1482.6123  0.9240 
   00369    0.4150   -1481.7531  0.9279 
   00370    0.4475   -1473.0947  0.9211 
   00371    0.4275   -1471.1997  0.9195 
   00372    0.3800   -1461.7915  0.9168 
   00373    0.4575   -1455.3676  0.9127 
   00374    0.4625   -1449.2987  0.9128 
   00375    0.4550   -1465.8254  0.9228 
   00376    0.3950   -1471.1984  0.9210 
   00377    0.4625   -1475.8973  0.9227 
   00378    0.4875   -1461.6187  0.9159 
   00379    0.4425   -1456.7033  0.9072 
   00380    0.4500   -1456.5705  0.9098 
   00381    0.4400   -1459.5063  0.9102 
   00382    0.4375   -1454.6759  0.9077 
   00383    0.4325   -1456.6051  0.9098 
   00384    0.4150   -1455.3185  0.9157 
   00385    0.4425   -1465.6679  0.9136 
   00386    0.4050   -1464.0504  0.9052 
   00387    0.4300   -1468.7183  0.9031 
   00388    0.4225   -1484.4004  0.9019 
   00389    0.4500   -1472.4828  0.9031 
   00390    0.4225   -1468.3277  0.9028 
   00391    0.4650   -1471.1768  0.9050 
   00392    0.4600   -1477.9678  0.9113 
   00393    0.4875   -1481.4358  0.9148 
   00394    0.4275   -1479.3939  0.9134 
   00395    0.4450   -1479.5645  0.9151 
   00396    0.4150   -1470.3804  0.9117 
   00397    0.4525   -1465.4038  0.9088 
   00398    0.4375   -1461.4693  0.9092 
   00399    0.4550   -1472.2423  0.9110 
   00400    0.4500   -1470.3860  0.9087 
   00401    0.4625   -1473.5343  0.9128 
   00402    0.4725   -1476.3236  0.9143 
   00403    0.4250   -1472.7150  0.9152 
   00404    0.4375   -1469.7884  0.9123 
   00405    0.4225   -1474.7250  0.9168 
   00406    0.4175   -1475.8517  0.9175 
   00407    0.4625   -1477.1565  0.9184 
   00408    0.4125   -1493.2362  0.9248 
   00409    0.3475   -1486.2404  0.9133 
   00410    0.4775   -1482.0233  0.9137 
   00411    0.4200   -1476.1483  0.9162 
   00412    0.4275   -1483.4464  0.9176 
   00413    0.4550   -1473.3763  0.9182 
   00414    0.4100   -1469.7885  0.9147 
   00415    0.3950   -1469.1306  0.9159 
   00416    0.4325   -1466.1758  0.9158 
   00417    0.4400   -1461.4518  0.9209 
   00418    0.4675   -1459.4718  0.9187 
   00419    0.4450   -1461.0045  0.9216 
   00420    0.4200   -1462.9552  0.9263 
   00421    0.4225   -1472.3222  0.9256 
   00422    0.4050   -1475.4191  0.9298 
   00423    0.4700   -1476.3683  0.9272 
   00424    0.4275   -1479.5628  0.9335 
   00425    0.4075   -1477.0327  0.9354 
   00426    0.4100   -1474.5481  0.9280 
   00427    0.4900   -1471.1234  0.9239 
   00428    0.4300   -1469.9410  0.9237 
   00429    0.4150   -1471.9920  0.9224 
   00430    0.4350   -1474.3062  0.9182 
   00431    0.4425   -1461.9546  0.9137 
   00432    0.4625   -1473.4584  0.9112 
   00433    0.4250   -1469.2668  0.9175 
   00434    0.4600   -1468.7581  0.9089 
   00435    0.4825   -1481.4905  0.9177 
   00436    0.4100   -1469.4262  0.9149 
   00437    0.4475   -1463.4455  0.9102 
   00438    0.4575   -1468.1692  0.9123 
   00439    0.4450   -1476.7925  0.9201 
   00440    0.4600   -1491.5171  0.9241 
   00441    0.4575   -1488.1829  0.9223 
   00442    0.4275   -1483.5661  0.9168 
   00443    0.4450   -1479.8749  0.9131 
   00444    0.4300   -1471.6618  0.9081 
   00445    0.4125   -1463.3173  0.9109 
   00446    0.4850   -1455.2360  0.9033 
   00447    0.4350   -1454.2543  0.9033 
   00448    0.4600   -1455.5319  0.9027 
   00449    0.4875   -1460.8769  0.9080 
   00450    0.4450   -1466.0781  0.9089 
   00451    0.4300   -1468.5226  0.9072 
   00452    0.4200   -1473.3582  0.9040 
   00453    0.4525   -1480.4861  0.9053 
   00454    0.4250   -1478.2484  0.9055 
   00455    0.4425   -1467.2164  0.9104 
   00456    0.4550   -1474.2583  0.9119 
   00457    0.4225   -1472.4208  0.9051 
   00458    0.4000   -1470.2406  0.9066 
   00459    0.4325   -1476.7266  0.9105 
   00460    0.4525   -1482.4440  0.9098 
   00461    0.4225   -1483.7689  0.9113 
   00462    0.4425   -1477.3211  0.9143 
   00463    0.3750   -1475.8464  0.9094 
   00464    0.3950   -1482.7596  0.9147 
   00465    0.4225   -1486.4411  0.9191 
   00466    0.4500   -1478.1550  0.9178 
   00467    0.4150   -1482.7111  0.9192 
   00468    0.4225   -1476.5619  0.9178 
   00469    0.4375   -1485.4023  0.9207 
   00470    0.4175   -1485.9846  0.9211 
   00471    0.4075   -1484.6275  0.9232 
   00472    0.4500   -1474.6753  0.9231 
   00473    0.4175   -1463.9262  0.9206 
